レコードの開始行,レコード番号,会社名,TEL,営業担当者名,見込み時期,業界,顧客ランク,住所,案件名,更新者,作成者,更新日時,作成日時,案件名,活動日,新規/既存[新規],新規/既存[既存],先方担当部署名,社内関係者,販売品目,ステータス,活動内容,文字列 (複数行),受注確度（活動日で変動）,見込み時期,見込額,受注金額
*,99,会社A,,担当者001,2026/3/12,金融,年商：1億円未満,,年間計画作成のAIによる効率化システム,担当者001,担当者001,2026/3/12 9:55,2026/3/12 9:55,年間計画作成のAIによる効率化システム,2026/3/12,1,,,担当者002,システム受託,見積,オンライン,年間計画作成のAIによる効率化システムについて見積提出,30%,2026/3/12,20000000,0
*,98,会社B,,担当者003,2026/3/31,金融,年商：100億円以上,某所,申込受付システム（法人）開発案件,担当者003,担当者003,2026/3/3 8:11,2026/2/18 8:53,申込受付システム（法人）開発案件,2026/2/18,1,,営業統括推進部、情報システム部,"担当者004
担当者005",システム受託,初回訪問,訪問,"個人フォームでの案件が動いているが、人物001さんが会社Bの役員との会話の中で法人フォームにも課題があることでヒアリング。
法人については個人との切り分けで検討される予定であり、3月2日に人物001さん、人物002さんがお台場の先方本社に訪問ヒアリング予定。（協力会社Z02もいて多人数になってしまう為当社側は2名で訪問してほしいことで希望あり）",50%,2026/3/31,12000000,0
,98,会社B,,担当者003,2026/3/31,金融,年商：100億円以上,某所,申込受付システム（法人）開発案件,担当者003,担当者003,2026/3/3 8:11,2026/2/18 8:53,申込受付システム（法人）開発案件,2026/3/3,,1,営業統括推進部、情報システム部,"担当者004
担当者005",システム受託,引き合い,訪問,"取引先X01様 MTGまとめ（人物001さんからの共有内容）

出席者
取引先X01：人物003執行役員、人物004様、人物005様、人物006様
当社側：―

1. 全体方針・前提

個人申込領域の提案を進めているが、今回新たに法人申込領域の検討も開始

SMB（中小企業）はWeb誘導を前提にし、人手をかけずバック側へ流す設計を志向

QA等のコミュニケーションフローは従来通り

2. 現状の課題
① 計測・タグ関連

タグ設置に数カ月を要した（外部ベンダーV01システム制約）

タグ設置費用が数十万円単位

STG環境でクロスドメインテストが構築できず、本番動作可否が不明なまま進行せざるを得ない

法人は案件ごとにドメインが異なり、横断計測が困難

マス系アフィリエイトではフォーム改修の都度、莫大な費用発生

フォーム変更レベルでも約1800万円の見積が出るなど改善が進めにくい構造

EFOツール導入も外部ベンダーV01システム制約により困難

? 現状の問題点

タグ設置に時間・コストがかかる

フォーム改善施策が高額で実行しづらい

② 業務フロー／システム連携

現行の申込?審査フロー：

申込

審査担当がCSV一覧取得

審査室へCSV連携（RPA）

社内システムS03（社内システムS05系システム）
→ 社内システムS04（審査システム）で審査
→ 社内システムS05へデータ連携

補足事項：

個人も同様に社内システムS04／社内システムS05へ連携

社内システムS03はIF（API）が無い可能性あり（ポリシー制約含む）

営業用QR生成機能は不要

BCが手入力で顧客情報を取得している

オンライン口座振替未対応（紙ベース）

本人確認書類も紙前提

3. 法人と個人の違い

共通

基盤は異なるが構造差は大きくない

相違

個人は作り込みが多く社内ハードルが高い

法人は利用顧客が少なく着手ハードルが低い

個人領域では犯罪収益移転防止法対応が進行中

オンライン交付前提

口振は後続対応

4. フォーム仕様差

以下で仕様が異なる：

外部ベンダーV01／BC

提携先P01

提携先P02

→ 提携先／ブランド単位でフォーム要件が個別化されている

5. 今後の進め方

UC様より「法人機能の現行システム要件（2023年頃）」を共有

その内容をベースに提案作成

法人・個人含めた開発見積提示

QAは従来フローで実施

6. 戦略示唆（重要）

短期着手は法人領域が最適

個人領域は制度対応・他案件進行中のため短期導入難易度高

計測基盤／タグ設計／フォーム改善の柔軟性確保が最大ボトルネック

ドメイン分散前提の計測アーキテクチャ再設計が必要",50%,2026/8/31,12000000,0
*,97,会社C,,担当者003,2026/3/31,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/2/18 9:44,2026/2/2 18:35,書きあげクン案件,2026/2/2,1,,代表取締役、情報システム部、生活環境本部部長,担当者002,書きあげクン,初回訪問,訪問,"先方：代表取締役社長・人物007様
　　　業務本部副本部長　兼　総務部長　　
　　　兼　経営企画室長　兼　生活・環
　　　境事業本部部長・人物008様
　　　情報システム部　副部長・人物009様　　
　　　（元会社E社長）
協力会社Z03：人物010社長
当社：人物011さん、人物A02
【内容】
アウトバウンド音声（営業の録音）とインバウンド音声に対して、モニタリングの業務をしているがアナログで行っていて、かついつだれがというのが現状把握できない仕組みになっている。
言ってはいけないNGワードをいってないかなどのモニタリングは必要。
現状は既存システムS01（携帯）で、録音をしている。
今度、そのあたりのソリューションを提案してもらうのもありかもとのこと。（人物009様）
次回は、協力会社Z01様も含めてヒアリングの機会をもらえる。
まずは、書きあげクンのトライアルで音声データを入れてみての精度をみてみたいとのこと。
現在は既存ツールT01を利用中。
書きあげクンご紹介
⇒議論の場はそれほどない。
報告会な程度で議事録にそれほど時間を要していない状況。
但し上記の通りアウトバウンド、インバウンド音声データの活用は検討されるとのことでまずは書きあげクンのトライアルにて精度を試したいとのこと。",30%,2026/3/31,484000,0
,97,会社C,,担当者003,2026/3/31,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/2/18 9:44,2026/2/2 18:35,書きあげクン案件,2026/2/16,,1,代表取締役、情報システム部、生活環境本部部長,担当者002,書きあげクン,初回訪問,メール　チャット,"下記メールでのやりとり。
26日で日程確定済み

人物012様

お世話になります。人物A01です。
営業マンの会話の録音データを文字おこしして
さらに設定したキーワード等が含まれる場合には
それを検知して知らせるような仕組みがあれば非常に
興味深いです。

当社特有ですが相手先への発信規制というマイナーな利用方法を
行っていますので、この部分を考慮してご提案いただけると
ありがたいです。
既存システムS02というIP-PBXを利用しています。

下記のご都合はいかがでしょうか。
2/24 10:00-12:00　または　16:00-17:00
2/26 14:00-17:00

お越しいただけるなら、対面での面談を希望します。
ご検討ください。
よろしくお願いいたします。",30%,2026/3/31,484000,0
,97,会社C,,担当者003,2026/3/31,金融,年商：100億円以上,,書きあげクン案件,担当者003,担当者003,2026/2/18 9:44,2026/2/2 18:35,書きあげクン案件,2026/2/18,,1,代表取締役、情報システム部、生活環境本部部長,担当者002,書きあげクン,初回訪問,メール　チャット,"訪問前に書きあげクンを利用してみたい旨で連絡あり。
書きあげクンについては改修中でバグが発生したりの状況であり、訪問前にトライアル環境の提供ができるかは18日に社内打ち合わせ予定。",30%,2026/3/31,484000,0
*,96,会社D,000-0000-0000,担当者001,2026/1/27,金融,年商：1億円未満,某所,シストレ,担当者001,担当者001,2026/3/12 9:36,2026/1/27 18:05,シストレ,2026/1/27,,,THD,担当者006,システム受託,引き合い,その他,"人物013さん紹介
同社にてシストレ導入による事業再生を検討中　1/30株主の関連会社Y01訪問",30%,2026/1/27,10000,0
,96,会社D,000-0000-0000,担当者001,2026/1/27,金融,年商：1億円未満,某所,シストレ,担当者001,担当者001,2026/3/12 9:36,2026/1/27 18:05,シストレ,2026/1/30,1,,関連会社Y01,担当者004,システム受託,初回訪問,訪問,関連会社Y01　代表取締役　人物A03市宛て訪問。会社Dは増資済み２億？現状のFXサービスでは３０万の売上しかなく、関東財務局へは「事業休眠届」を提出の予定。その間販管費圧縮し、当社シストレを使ったサービスにて再開をしたいとの意向。,30%,2026/1/30,50000,0
,96,会社D,000-0000-0000,担当者001,2026/1/27,金融,年商：1億円未満,某所,シストレ,担当者001,担当者001,2026/3/12 9:36,2026/1/27 18:05,FXシステム,2026/2/19,1,,,,システム受託,提案,訪問,事業計画案とともに当社システムの概要と大概算費用を提示。先方にて検討の上返答をくださる。,30%,2026/3/12,50000,0
*,95,会社C,,担当者003,2026/3/31,金融,年商：10億円?100億円,,DX伴走支援,担当者003,担当者003,2026/3/2 18:12,2026/1/22 16:41,DX伴走支援,2026/1/22,1,,,担当者002,生成AI伴走サービス,初回訪問,訪問,"＜会社C＞会社C 150名 商品先物クリック365対面のみ

会社E　人物010社長から紹介をいただいた先。
2月2日に訪問ご挨拶予定。
弊社ソリューションのご紹介及びAI活用やDX推進状況などヒアリング予定であり、顧客潜在ニーズをキャッチできるように対応する",30%,2026/3/31,3000000,0
